WEEK,q1,q2,q3,p1,p2,p3
100,2587256,1036640,3191488,0.03981206,0.032581639,0.017758108
101,2314720,2172656,3525440,0.043882418,0.030697082,0.022855221
102,2516952,10587632,1479616,0.0440426,0.019730065,0.023460803
103,4238704,2843392,2363328,0.038181588,0.021412911,0.022536313
104,6274224,1790672,2061120,0.033264247,0.026306811,0.022143466
105,3607840,2821728,2027584,0.039503063,0.031037726,0.022263704
106,6223144,1302720,2064768,0.031774581,0.031069716,0.023705162
107,3191904,1721696,2045248,0.03902712,0.030456469,0.022887933
108,2202664,2056112,1863872,0.043808184,0.029467762,0.023235673
109,2606232,2193008,3795456,0.042179284,0.027626867,0.023835168
110,2648392,16958464,1552512,0.041877143,0.026600986,0.023449397
111,2919096,1524240,1889920,0.041694758,0.031124869,0.023453675
112,2554304,3774128,1218560,0.041177589,0.024630807,0.02301867
113,8082048,1268624,1992000,0.034344961,0.032657572,0.02324239
114,5842040,1466528,1681536,0.036185014,0.032726542,0.023642194
115,6961784,1810352,1885184,0.034522463,0.032034295,0.023354702
116,2913896,1360416,3012544,0.04052495,0.032043044,0.023799573
117,3318008,1443984,3350720,0.039433193,0.031562143,0.0236788
118,3491528,1490256,2968832,0.038325366,0.030403689,0.024211101
119,6233992,1497344,2110400,0.032403768,0.031985903,0.023076824
120,4209312,2676224,2844352,0.036270048,0.030887145,0.022995944
121,4153048,2218384,2228416,0.037813863,0.030892835,0.022902901
122,8175424,1299056,1364672,0.028281378,0.032533955,0.022164945
123,4581448,2031712,1513408,0.032291885,0.035373749,0.023805894
124,3091872,1689328,2381824,0.040990364,0.035419362,0.023760085
125,3445016,1238960,6105408,0.039471924,0.035370577,0.022656805
126,9004944,1269312,1997184,0.028265021,0.034902278,0.023196886
127,5358680,1574128,2029760,0.032955631,0.032040272,0.021073871
128,3660504,11058176,1781568,0.042257014,0.030579382,0.023501994
129,6394152,1562416,2336384,0.033542395,0.032665699,0.021686135
130,3861456,1460992,6138048,0.034663425,0.035820805,0.022826201
131,5038216,2417312,3448000,0.033091154,0.03234467,0.02320868
132,3658856,1697808,4543680,0.035823875,0.033559136,0.02411209
133,17900608,1643472,1740608,0.032787281,0.035657279,0.024338909
134,4170216,2487136,1447936,0.038306284,0.032634854,0.02479055
135,3754160,1761408,3673088,0.03935791,0.033963999,0.023024039
136,3218400,1430384,7452608,0.040279279,0.038580829,0.020505051
137,2750736,4261168,2367552,0.041934693,0.031558573,0.021599247
138,5994440,965888,1782208,0.035938713,0.038058657,0.025582889
139,2836176,1172768,1868032,0.043508989,0.038693441,0.025638763
140,3338528,1559744,5327936,0.040933627,0.035375485,0.018651879
141,2649664,4662656,2759360,0.041508252,0.029507547,0.025448843
142,3495656,1212832,6581504,0.04187265,0.034175211,0.025960993
143,8082864,906720,3397824,0.040158114,0.03845272,0.025596208
144,3790920,1147264,2581568,0.040132047,0.038309413,0.025181831
145,6047280,3442848,1446720,0.03445307,0.02325757,0.024988747
146,4872392,1059792,2299712,0.036788803,0.036739455,0.021267024
147,3410984,2300160,2852928,0.040015652,0.032791132,0.020852111
148,4995592,1178880,2009344,0.035508586,0.036322043,0.020916946
149,2368808,4846080,1752000,0.045242679,0.0185306,0.025568505
150,2726696,3916432,1607488,0.042442938,0.035549232,0.024420369
151,2202528,1091328,4972992,0.045372981,0.039105558,0.022579369
152,8926784,1395440,1682176,0.041431453,0.033076556,0.024904748
153,2233672,6317488,1448896,0.044621838,0.031246298,0.025221065
154,3446720,7142000,2241792,0.03956702,0.021091749,0.024590796
155,4984440,2310576,1760960,0.036546898,0.029996767,0.021509767
156,5276608,1806352,1375872,0.036653788,0.029843519,0.025920551
157,2664280,3208368,1216064,0.040726831,0.031048801,0.026357831
158,2856728,1509632,1505920,0.0427348,0.037956555,0.026353047
159,3103432,1398640,4736256,0.041129711,0.035485021,0.023139847
160,2492664,5127824,1469632,0.042667146,0.034265109,0.027091496
161,3052760,3281360,1951552,0.042153009,0.034768986,0.025312377
162,4461952,4877376,1557696,0.037146159,0.018661877,0.025821476
163,2778072,2768672,1255552,0.043310231,0.027227638,0.025488574
164,2795136,2205120,2317376,0.043722595,0.03105489,0.023935913
165,3312096,3397984,1162304,0.04053897,0.029741138,0.02709822
166,2902704,2073728,5888512,0.04141794,0.0330279,0.020940789
167,8572232,1671728,1876608,0.033411717,0.033710191,0.02696496
168,4300160,1109808,1937408,0.037373265,0.036595726,0.024477059
169,2719320,1457808,5057984,0.04299202,0.035529212,0.026323563
170,3936248,4809456,2822848,0.040318146,0.023219557,0.026640995
171,3495712,1361040,12780032,0.040454113,0.035361988,0.016049111
172,5733520,1381856,4574080,0.036100701,0.035700746,0.018197819
173,4788232,3607776,1775552,0.033734422,0.034007979,0.024083913
174,3104704,1582064,1248640,0.041951639,0.033952369,0.02738232
175,2945672,1624336,3703744,0.041926796,0.033688332,0.023515886
176,3879512,3785536,1504576,0.038589959,0.030675056,0.027031755
177,7941440,2176736,1559616,0.028866412,0.032045848,0.022670286
178,2533208,8076400,1717312,0.042227318,0.031097693,0.023318104
179,4253656,1778880,2207936,0.036792888,0.033442261,0.022895424
180,2929784,1538480,5145280,0.040429161,0.033915222,0.024006746
181,2718992,11315344,2634432,0.041376554,0.018823233,0.02486178
182,3641656,1401712,1736896,0.03944458,0.034425545,0.023372223
183,2978472,2272160,3462976,0.039812303,0.034924666,0.021387339
184,2943200,1177968,10485248,0.03896073,0.034084321,0.021094242
185,4013296,1290288,2226624,0.039789405,0.033524539,0.024559418
186,3881720,1295712,7762304,0.037906755,0.03338417,0.024206035
187,6681704,1239264,1750848,0.029402971,0.031514883,0.02286054
188,2177688,1362080,9018432,0.042255791,0.03259774,0.013935295
189,2934448,1485744,3042112,0.038751343,0.032139992,0.019707999
190,3265928,1746080,3831040,0.035653107,0.031326337,0.016555779
191,3022376,1581120,4764416,0.036798704,0.031905852,0.019118641
192,2537816,1610032,3321920,0.040266781,0.032272216,0.02004697
193,2666664,1717168,4997248,0.040725322,0.032482093,0.017614481
194,2191488,3395888,3579776,0.04107897,0.029897184,0.018021566
195,10293144,1549728,1466048,0.035837439,0.031920027,0.023353771
196,2581272,6516304,3073216,0.041910829,0.01675152,0.022222545
197,2538808,1792640,2720896,0.041452422,0.032045079,0.021694008
198,4713552,2320064,1708864,0.033879316,0.030240041,0.02223799
199,8747352,5530048,1137536,0.024588426,0.017847245,0.023079806
200,2383744,2011808,4331712,0.040753411,0.029746328,0.022335001
201,4759056,2060832,3558272,0.034260366,0.029097845,0.021395073
202,2400816,3482560,2426944,0.040848661,0.02992575,0.020992067
203,3093968,3551808,2366592,0.038727951,0.028400463,0.020171103
204,3987344,2316640,2442432,0.03878703,0.029544163,0.020540818
205,3141144,6777504,1755392,0.039502325,0.022860805,0.023646086
206,2916152,1973376,3078912,0.040395291,0.031309639,0.025183984
207,2854192,2297824,2048512,0.040851761,0.032000989,0.024712064
208,3083656,4664096,1808832,0.039493877,0.023628238,0.024550185
209,11905640,1359104,2379328,0.030665448,0.031346858,0.020984576
210,4732280,1343744,3980352,0.035149268,0.031333282,0.023166971
211,294464,11553504,2218880,0.038457706,0.025401576,0.023818949
212,4114024,1488960,1930752,0.037429884,0.031539074,0.024989356
213,4869720,2446784,1747392,0.033765329,0.030893569,0.02521298
214,8028512,1616256,2003712,0.028126077,0.031644622,0.020727739
215,4320536,1279712,12610560,0.035855517,0.032618816,0.015051955
216,3621368,4669152,1586624,0.037754699,0.031402953,0.022769024
217,3970960,1483552,4676992,0.037770396,0.033616577,0.026041377
218,3306728,3067296,3546688,0.0391481,0.032452398,0.024755459
