Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,25.124830,25.686907,21.105982,21.977200,4.823272,32038774
1990-02-01,22.089615,22.202030,19.335440,20.206657,4.477999,19154861
1990-03-01,20.206657,21.415123,19.728893,21.218395,4.702214,20446053
1990-04-01,21.077877,22.145823,20.740631,21.021669,4.658613,17385525
1990-05-01,21.134085,24.169298,21.077877,23.438599,5.258282,17091973
1990-06-01,23.326183,23.775845,21.583746,22.314445,5.006084,13525733
1990-07-01,22.314445,22.820314,20.178555,22.202030,4.980864,19625432
1990-08-01,22.145823,22.595484,17.761623,19.223024,4.363272,18514599
1990-09-01,18.941986,21.471331,18.098869,21.246500,4.822564,14596762
1990-10-01,21.302708,23.775845,20.684423,23.494806,5.332886,26233296
1990-11-01,23.663429,24.506544,22.370653,24.450336,5.616554,18585541
1990-12-01,24.506544,25.293453,23.944468,24.113091,5.539081,13768137
1991-01-01,24.000675,24.337921,21.415123,21.808577,5.009705,19219351
1991-02-01,21.808577,23.663429,21.527538,22.033407,5.119299,18644253
1991-03-01,21.920992,23.382393,21.021669,23.101353,5.367427,22145333
1991-04-01,22.988937,23.719639,21.302708,22.483068,5.223774,19129506
1991-05-01,22.483068,22.651691,20.178555,21.190292,4.984233,20242121
1991-06-01,21.134085,21.246500,19.841309,21.246500,4.997450,17748469
1991-07-01,21.639954,22.202030,20.684423,21.527538,5.063557,14426188
1991-08-01,21.527538,22.651691,20.290970,22.426861,5.345430,15511003
1991-09-01,22.426861,22.764107,20.178555,20.459593,4.876534,17733122
1991-10-01,20.515800,21.246500,19.335440,21.134085,5.037300,22216940
1991-11-01,21.134085,21.134085,20.066139,20.403385,4.932380,18501034
1991-12-01,20.234762,22.145823,20.066139,21.696161,5.244901,23868628
1992-01-01,21.696161,22.033407,20.290970,20.740631,5.013909,27675934
1992-02-01,20.853046,20.909254,19.391647,19.560270,4.790793,21967418
1992-03-01,19.504063,19.616478,18.548532,18.660948,4.570529,26695866
1992-04-01,18.548532,20.009932,18.098869,19.953724,4.887162,33279487
1992-05-01,20.009932,20.234762,19.054401,19.391647,4.825536,27873420
1992-06-01,19.391647,20.234762,19.279232,20.009932,4.979393,20042414
1992-07-01,20.122347,21.527538,19.897516,21.358915,5.315080,27878755
1992-08-01,21.302708,22.370653,21.190292,21.808577,5.506967,21135683
1992-09-01,21.752369,22.202030,21.415123,21.920992,5.535352,23710953
1992-10-01,21.864784,21.920992,20.628216,21.415123,5.407614,25957756
1992-11-01,21.302708,21.696161,20.009932,21.134085,5.409522,20898614
1992-12-01,21.246500,24.225508,21.021669,23.045147,5.898680,22137993
1993-01-01,23.157560,24.169298,22.314445,23.213770,5.941844,24608073
1993-02-01,23.213770,25.518284,23.213770,25.012415,6.483865,18394953
1993-03-01,24.787582,25.237246,23.382393,25.181038,6.527578,23495236
1993-04-01,25.181038,25.349661,22.820314,23.101353,5.988469,19773769
1993-05-01,23.101353,24.675167,22.932730,24.394131,6.400334,19780220
1993-06-01,24.281713,26.698645,24.225508,26.698645,7.004971,19956795
1993-07-01,26.754852,27.035891,25.462076,26.754852,7.019723,16278026
1993-08-01,26.698645,28.834536,25.012415,28.834536,7.652645,21234871
1993-09-01,28.665913,29.171782,27.373137,28.665913,7.607894,22551635
1993-10-01,28.609705,31.082844,26.473814,28.609705,7.592974,60100560
1993-11-01,28.441082,29.003159,25.630699,26.979683,7.160370,34484170
1993-12-01,27.092098,27.879005,26.530022,26.642437,7.070864,22152003
1994-01-01,26.698645,26.811060,23.944468,25.518284,6.772520,37963012
1994-02-01,25.293453,25.349661,23.494806,24.618959,6.609375,28092918
1994-03-01,24.562754,24.675167,22.932730,23.269976,6.247219,31853968
1994-04-01,22.820314,24.843790,22.033407,23.269976,6.247219,27811373
1994-05-01,23.326183,24.450336,22.539276,24.000675,6.531537,20031964
1994-06-01,23.944468,25.518284,23.775845,25.181038,6.852759,21698996
1994-07-01,25.181038,25.743114,24.562754,25.462076,6.929241,16612501
1994-08-01,25.574492,26.248983,24.506544,24.618959,6.783946,19090144
1994-09-01,24.562754,24.787582,23.494806,23.832052,6.567109,19473766
1994-10-01,23.944468,23.944468,22.258238,23.551016,6.489666,19934333
1994-11-01,23.438599,23.775845,22.314445,22.539276,6.292996,19387255
1994-12-01,22.426861,23.269976,21.752369,22.370653,6.245915,18196135
1995-01-01,22.370653,25.068623,21.752369,24.394131,6.810874,22762239
1995-02-01,24.506544,24.787582,23.185665,24.113091,6.825901,19247592
1995-03-01,24.000675,24.900000,22.820314,23.775845,6.730434,25898823
1995-04-01,23.832052,24.675167,23.382393,24.562754,6.953191,20501649
1995-05-01,24.731377,25.686907,23.663429,24.956205,7.157568,22869877
1995-06-01,24.956205,26.473814,23.944468,25.181038,7.222049,22745338
1995-07-01,25.181038,26.417606,24.675167,25.743114,7.383261,23050013
1995-08-01,25.743114,26.923475,25.293453,26.754852,7.769263,18361151
1995-09-01,26.530022,27.822798,26.024153,27.597967,8.014094,22886776
1995-10-01,27.597967,29.509027,26.530022,28.553497,8.291563,25694889
1995-11-01,28.609705,29.452820,27.822798,28.328667,8.320988,16519321
1995-12-01,28.553497,30.970427,28.497290,30.071104,8.832797,21126564
1996-01-01,29.958689,31.982166,29.902481,30.970427,9.096953,29370768
1996-02-01,30.801804,33.668396,29.115574,29.733858,8.822758,35225395
1996-03-01,29.846273,29.958689,27.485552,27.822798,8.255701,35212498
1996-04-01,28.216251,30.464558,26.530022,29.227989,8.672656,38544338
1996-05-01,29.003159,29.509027,27.710382,28.047628,8.420195,25193623
1996-06-01,27.935213,28.665913,26.979683,28.665913,8.605813,21549995
1996-07-01,28.553497,28.778328,25.799322,26.586229,7.981472,28319978
1996-08-01,26.642437,27.879005,25.124830,25.293453,7.682945,26633819
1996-09-01,25.012415,27.148306,24.787582,26.923475,8.178071,32536929
1996-10-01,26.754852,28.216251,26.305191,27.092098,8.229290,36768557
1996-11-01,27.148306,28.497290,27.092098,28.272459,8.688315,22446001
1996-12-01,28.103836,30.576975,26.642437,29.115574,8.947415,33575933
1997-01-01,29.171782,30.801804,28.384874,30.239729,9.292871,41905534
1997-02-01,29.958689,32.094582,29.958689,31.082844,9.658341,32081031
1997-03-01,30.914221,31.082844,26.642437,27.316929,8.488158,39678527
1997-04-01,27.148306,30.520765,25.518284,30.464558,9.466224,59093353
1997-05-01,30.464558,31.588713,30.071104,31.476295,9.899958,36646686
1997-06-01,31.925959,35.186005,31.644918,34.118057,10.730850,43535873
1997-07-01,34.230473,34.342888,30.576975,32.628555,10.262369,45123290
1997-08-01,32.628555,34.455303,32.010269,32.544243,10.235852,48540973
1997-09-01,32.572346,36.731712,32.572346,36.169636,11.376117,70397420
1997-10-01,36.366364,38.333633,33.612186,35.972912,11.314236,71388830
1997-11-01,36.310158,40.385212,35.270313,40.132278,12.738353,57279324
1997-12-01,39.907448,41.256432,39.457787,40.919186,12.988130,63869395
1998-01-01,41.593678,41.987129,38.108803,41.621780,13.211139,65932502
1998-02-01,41.987129,42.183857,39.401577,40.357109,12.919874,52562664
1998-03-01,40.300900,47.664104,40.272797,45.977875,14.719296,65157254
1998-04-01,46.034084,46.427536,40.919186,42.071442,13.468699,70505943
1998-05-01,42.605415,45.050449,40.188484,41.200226,13.291179,57046927
1998-06-01,41.818508,44.263542,40.469524,41.031601,13.236783,59824460
1998-07-01,41.368847,42.717831,38.727085,40.778667,13.155185,60595377
1998-08-01,40.919186,42.155754,36.366364,39.682617,12.907614,58136636
1998-09-01,39.682617,45.359592,36.534988,43.560947,14.169121,57911579
1998-10-01,43.392323,48.113766,42.942661,47.832729,15.558612,66327134
1998-11-01,48.563431,52.947628,47.776520,50.024830,16.393011,40518824
1998-12-01,49.462753,55.027309,46.820992,48.563431,15.914106,50455079
1999-01-01,49.462753,53.959366,45.977875,53.959366,17.682344,98739301
1999-02-01,53.622120,54.352818,50.362076,51.823475,17.102137,59500553
1999-03-01,51.261398,51.542435,45.528214,46.483746,15.339981,62598994
1999-04-01,46.258915,53.790741,45.809254,51.823475,17.102137,65386314
1999-05-01,51.935890,54.071781,48.619637,49.237923,16.368639,82191737
1999-06-01,49.237923,58.793224,48.338596,58.793224,19.545195,61434787
1999-07-01,56.657333,60.198418,55.364555,57.556656,19.134108,53818610
1999-08-01,57.781487,58.905640,54.521442,55.139729,18.444542,66557862
1999-09-01,55.139729,61.322571,54.184196,60.535664,20.249500,65375750
1999-10-01,60.535664,62.502934,55.645596,58.399773,19.535048,70587115
1999-11-01,58.624603,58.849434,55.364555,57.359928,19.300556,57829962
1999-12-01,56.882164,60.479454,53.228664,55.364555,18.629147,79838634
