Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,0.314732,0.345982,0.286830,0.303571,0.240748,3747497600
1990-02-01,0.308036,0.314732,0.287946,0.303571,0.240748,2483891200
1990-03-01,0.299107,0.387277,0.296875,0.359375,0.285922,4556473600
1990-04-01,0.357143,0.395089,0.340402,0.351563,0.279706,3642475200
1990-05-01,0.354911,0.381696,0.345982,0.368304,0.293025,4115630400
1990-06-01,0.369420,0.400670,0.334821,0.399554,0.318770,3952054400
1990-07-01,0.397321,0.426339,0.357143,0.375000,0.299181,4163812800
1990-08-01,0.375000,0.390625,0.299107,0.330357,0.263564,3128339200
1990-09-01,0.325893,0.334821,0.243304,0.258929,0.207202,2206948800
1990-10-01,0.263393,0.285714,0.216518,0.274554,0.219705,5056116800
1990-11-01,0.272321,0.343750,0.265625,0.328125,0.262574,3254608000
1990-12-01,0.332589,0.404018,0.330357,0.383929,0.308257,4094092800
1991-01-01,0.381696,0.500000,0.375000,0.495536,0.397867,7037307200
1991-02-01,0.495536,0.555804,0.488839,0.511161,0.410412,5545780800
1991-03-01,0.508929,0.627232,0.508929,0.607143,0.488502,5210598400
1991-04-01,0.607143,0.654018,0.486607,0.491071,0.395111,7243051200
1991-05-01,0.428571,0.479911,0.392857,0.419643,0.337641,7972843200
1991-06-01,0.419643,0.441964,0.359375,0.370536,0.298893,4091662400
1991-07-01,0.377232,0.430804,0.372768,0.412946,0.333103,3783494400
1991-08-01,0.410714,0.495536,0.408482,0.473214,0.381718,4172649600
1991-09-01,0.470982,0.477679,0.415179,0.441964,0.357315,2393070400
1991-10-01,0.439732,0.502232,0.415179,0.459821,0.371752,3593990400
1991-11-01,0.457589,0.493304,0.424107,0.453125,0.366338,3696033600
1991-12-01,0.453125,0.517857,0.433036,0.503348,0.407921,2607169600
1992-01-01,0.497768,0.616071,0.495536,0.578125,0.468521,4703160000
1992-02-01,0.578125,0.625000,0.551339,0.602679,0.488420,2534996800
1992-03-01,0.604911,0.611607,0.515625,0.520089,0.422276,2985662400
1992-04-01,0.511161,0.546875,0.473214,0.536830,0.435869,3931390400
1992-05-01,0.535714,0.564732,0.520089,0.533482,0.433151,2703724800
1992-06-01,0.511161,0.531250,0.381696,0.428571,0.347970,4851683200
1992-07-01,0.428571,0.441964,0.388393,0.417411,0.339591,3632809600
1992-08-01,0.417411,0.421875,0.370536,0.410714,0.334142,2746531200
